ID,NewsName,ViewFlag,SortID,SortPath,GroupID,Exclusive,NoticeFlag,Source,Content,ClickNumber,AddTime,SeoKeywords,SeoDescription,pic
16,张开心灵的眼睛 每一处都孕育着美1,TRUE,6,"0,4,6,",200603281858588888,>=,FALSE,,"固铂行天下 - 张开心灵的眼睛,每一处都孕育着美固铂行天下 - 张开心灵的眼睛,每一处都孕育着美固铂行天下 - 张开心灵的眼睛,每一处都孕育着美",9,2008/7/29,,,../uploadfile/20110325/20087309184488690.jpg
72,佐佐其人—-桂林汽车运动协会会长,TRUE,6,"0,4,6,",200603281858588888,,FALSE,,"<P>杨永佐,男,桂林汽车运动协会会长。<BR><BR>桂林市永盛四驱越野车队成员。<BR><BR>资深越野车手。<BR><BR>曾多次参加全国汽车越野锦标赛，拥有丰富的越野赛和训练经验，同时在汽车修理和汽车维护方面具有专业经验。</P>
<P>佐佐现与其越野车队与固铂轮胎携手为环保事业呐喊。</P>",1,2008/7/30,,,../uploadfile/20110325/20087309251773158.jpg
73,固铂全路况雪地胎“助力”贵州交警、消防官兵抢运物资,TRUE,2,"0,1,2,",200603281858588888,>=,FALSE,,"<P><FONT size=2>&nbsp;&nbsp;&nbsp;&nbsp; 全球轮胎替换专家固铂轮胎紧急援助的一批全路况雪地轮胎，近日紧急空运到了受雪灾严重的中国贵州黔东南地区交警支队和消防支队手中，为正在紧急救灾、抢运物资的官兵们提供必要地安全保障。考虑到时间紧迫，固铂轮胎专门申请通过航空绿色通道成功运送了这批轮胎,以保证在24小时内送至当地。固铂轮胎亚太区总裁曹克昌先生表示:”正如固铂的价值理念一直告诉我们的, Do the Right Thing, 在这么严峻的形式下,我们希望能为社会尽一己绵薄之力”。</FONT></P>
<P><FONT size=2>&nbsp;&nbsp;&nbsp;&nbsp; 08年入冬以来连续的几场大雪，使贵州省遭遇二十年以来最严重的雪灾。由于出现大范围的凝雪天气，导致全省95万余人受灾，20多个县市区受灾严重。尤其是贵州省黔东南苗族侗族自治州地区，农作物受灾面积达1.8万多公顷，其中849多公顷农作物绝收。县，乡镇各职能部门断水，断电，断气已达五日之久。严重影响了老百姓的日常生活。贵州境内20余条高速公路因凝冻而无法通行，百姓生活物资无法运达。</FONT></P>
<P><FONT size=2>&nbsp;&nbsp;&nbsp;&nbsp; 固铂轮胎主动联系并紧急启动了此次捐赠事宜。当地交警支队和消防支队在冒着连续暴风雪和恶劣环境下,为当地老百姓运送救援物质,帮助运输维修电网需要的设备和材料, 固铂轮胎以性能卓越的四季轮胎(发现者ATR)为当地交警支队安全运送物质保驾护航。</FONT></P>
<P><FONT size=2>&nbsp;&nbsp;&nbsp;&nbsp; 此次固铂为当地交警和消防部门救灾车辆装备的分别是固铂Discoverer ATR 225/70R/16和Discoverer ATR 235/85R/16. ATR属于四季胎花纹设计, 即在春夏秋冬四季都有卓越的表现. 同时又不同于普通的四季胎, 它的宽而深的纵横向沟槽设计, 提供一定的雪地能力,密集的Z形刀切花纹设计, 提供可靠的冰面抓地力.</FONT></P>
<P><FONT size=2>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ATR有良好的高速性能, 同时兼备相当的越野能力, 更难得的还有不错的雪地能力。贵州地区有高速公路, 又有山路越野路, 现在又面临冰雪天气, 固铂轮胎, 作为全球轮胎替换专家, 专门提供一款能完全克服所有苦难路况的轮胎, 为救灾提供帮助!</FONT></P>",4,2008/2/3,,,../uploadfile/20110420/20110420134440697.jpg
74,粥粥－－胖兔子插画家,TRUE,6,"0,4,6,",200603281858588888,,FALSE,,"<P>&nbsp;&nbsp;&nbsp; 胖兔子粥粥，男。普通插画工作者。生在苏州。现居北京。</P>
<P></P>
<P>&nbsp;&nbsp;&nbsp; 北京的家里面，最值钱的有一个老婆、一台电脑、还有一辆高级敞篷红色后轮驱动跑车（二轮）。</P>
<P>&nbsp;&nbsp;&nbsp; 座右铭是：“爱画画，爱生活，爱老婆。”。</P>
<P></P>
<P>&nbsp;&nbsp;&nbsp; 06年因为画涂鸦日记赢了个msn博客大赛冠军。</P>
<P>&nbsp;&nbsp;&nbsp; 07年因为设计环保袋在钓鱼台被国家领导人接见。</P>
<P>&nbsp;&nbsp;&nbsp; 08年因为编辑威逼恐吓，交了拖欠已久的书稿。</P>
<P></P>
<P>&nbsp;&nbsp;&nbsp; 欲知其他内容，请至<A href=http://www.ptzzz.com target=""blank"">www.ptzzz.com</A>。</P>
<P></P>
<P>&nbsp;&nbsp;&nbsp; 近期，粥粥与固铂轮胎联手，一同支持环保事业，设计精美环保袋及环保cd封套。</P>",3,2008/7/31,,,../uploadfile/20110325/20087312113394204.jpg
75,行走无疆 勇闯墨脱,TRUE,2,"0,1,2,",200603281858588888,>=,FALSE,,"<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 作为全球替换胎市场的领导者，固铂轮胎（Cooper Tires China）今天在北京宣布将正式启动2008固铂轮胎“行走无疆”环保之旅。此举意味着固铂轮胎开始全面实践其固铂式渐进环保理念。此次2008固铂轮胎“行走无疆”环保之旅将历时一个月，横跨大半个中国，随行的摄影师将通过相机拍摄下沿线的原生态美景，固铂希望通过一系列的创意活动呼唤大众追寻并重新发现中华大地的生态之美。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 据悉，此次固铂轮胎将联合桂林永盛四驱越野俱乐部共同完成这一环保之行，作为国内最活跃的民间四驱越野俱乐部之一，桂林永盛不久前刚在广西汽车场地越野邀请赛中包揽了冠亚军，显示出极高的专业水准。在谈到与固铂轮胎的合作时，俱乐部发起人杨永佐表示：“非常认同固铂提出的渐近式环保理念，希望通过这次旅行能让更多的有志之士加入到环保事业中来！”</P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; “这是我们的使命！” 在谈到此次固铂环保之旅时，固铂轮胎中国区总经理表示，“环保应该是无疆域的，无论你身在何地？从事的是哪个职业？只要你我同处一个世界，去实践环保就是责无旁贷的义务。我们希望能通过这样一次环保之旅，将大家的力量聚集在一起，从现在就行动起来！这正是固铂轮胎推动此次活动的初衷！“",2,2008/4/6,,,../uploadfile/20110420/20110420134304910.jpg
76,用户心声－佐佐,TRUE,6,"0,4,6,",200603281858588888,,FALSE,,"<P>&nbsp;&nbsp;&nbsp; “相比较以往用过的一些轮胎，固铂发现者Discoverer STT轮胎给我的总体感觉是产品的各项性能指数比较均衡: 举例来说，对于我们这些需要经常走泥地的玩家来说，轮胎的抓地力是一项非常重要的性能指数，而固铂越野胎在胎侧胎牙上的独特设计体现出了其作为全球轮胎替换专家的专业实力，从这几个月的使用经验来看，我们可以很明显得感觉到正是有了这种设计，轮胎在陷入泥泞的泥地时有了更好的咬地能力，这使得轮胎能够轻松地从泥地里“脱身而出”，同时，也保护了轮胎胎壁。</P>
<P>&nbsp;&nbsp;&nbsp; 从我多年的玩车经验来看，轮胎对于我们越野玩家所起的作用要更明显，我用过许多轮胎，所以更能体会到固铂轮胎对这些产品细节的用心之处，用心的产品，用心的企业，才能打动我们的心。”</P>
<P align=right>&nbsp;</P>
<P align=right>――桂林市汽车运动协会会长 杨永佐</P>",0,2008/7/31,,,../uploadfile/20110325/20087312361180840.jpg
77,固铂轮胎征战环塔：越野利器，沙场再显神威,TRUE,6,"0,4,6,",200603281858588888,,FALSE,,"<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 2007年春天第三届环塔拉力赛在中国新疆塔克拉玛干沙漠圆满结束。来自美国固铂轮胎首次亮相,助长城车队强强联手，长城车队肖发国获得柴油组冠军.</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 有固铂轮胎(COOPERTIRES)作为坚强后盾，长城车队踌躇满志。他们于4月30日由乌鲁木齐正式开拔，翻越险峻的天山、穿过广阔的吐鲁番盆地，神秘的阿尔金山以及罗布泊等地区，在经历12天的艰苦赛事征程后，最终于5月12日到达本次比赛的终点——美丽的孔雀河畔(阿克苏)。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 这次环绕塔克拉玛干沙漠的赛程总长近5000公里，是车手和车队挑战自然、征服极限的一次漫长而艰险的里程。长达2500公里的特殊路段，绝大部分由坚硬锋利的戈壁和河床构成。对车辆的性能和车手的技能无疑都是严峻的挑战。试想，当赛车以超过100多公里的时速通过这样的极限路面时，赛车轮胎的坚固性和耐用性将在比赛中起到何种关键的作用。轮胎一旦被扎破或损毁，都将会对车手的成绩和情绪造成不小的负面影响，甚至会导致车手被迫退出比赛，整个车队的努力也将前功尽弃。而固铂轮胎(COOPERTIRES)DISCOVERER STT轮胎(Super Traction Tread,也就是超级牵引轮胎)则为车手和车队在比赛中尽情发挥提供了保障，它采用Armor-Tech3技术的结构令轮胎异常坚固，能够从容应对这种戈壁路况下外界异物的强烈冲击。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 除了戈壁和河床,环塔拉力赛的赛程中还包括了大量的沙地和碎石路况，要求赛车高速通过这种路况时轮胎能够提供良好的牵引力和操控性。COOPER（固铂）轮胎独特的胎面和胎肩设计具有强大的“抓爬”和“啃咬”功能，能够很好地帮助赛车紧紧抓住路面，强力牵引；而固铂轮胎(COOPERTIRES)坚硬的胎唇填充胶能够保证赛车在高速运行中也能即时传递转向力，确保赛车优良的操控性。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 更值得一提的是，在环塔这样的长距离极限赛事中，“速度”和“稳定”一直是象长城这样的一流车队的“致胜法宝”。然而，不论是在戈壁还是砂石路面上，赛车的每一次过弯都是“机遇”和“危险”并存的一瞬——过弯太慢，浪费了时间；太快，则容易造成轮胎从钢圈上脱落或者损毁。而固铂轮胎(COOPERTIRES)独特的胎唇胶和钢丝的选用能够保证轮胎即使在较低气压下仍能轻松应付赛车高速过弯时造成的横向G值，令车手信心百倍。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 在众多赛事中，固铂轮胎(COOPERTIRES)已经成为A1方程式赛事唯一轮胎赞助商。在这次环塔赛事中，有很多参赛车队不约而同地选择了固铂轮胎(COOPERTIRES)来装配他们的赛车。这些专业车队对COOPER（固铂）品牌的认可和信赖，源于其产品自身的出色品质和吸引力。对此，固铂轮胎(COOPERTIRES)公司一直致力于提供给消费者高品质高性能的产品，使他们体验到固铂轮胎(COOPERTIRES)超凡的抓地力和卓越的操控性，在满足驾驶者对于驾驶操控的激情欲望的同时、帮助他们挑战自身和车辆的极限性能！而激烈的赛场、顶级的赛事正是体现这一宗旨的绝佳舞台！”</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 毋庸置疑的是，此次于中国西北荒漠地区举办的为期11天的环塔拉力赛，是中国专业越野车手及普通消费者近距离了解固铂轮胎(COOPERTIRES)的一次良好契机。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 除了在国内各类知名汽车赛事中表现抢眼，固铂轮胎(COOPERTIRES)还积极参与国际级车赛，尤其在越野赛事中战绩辉煌，并已成为众多国际著名车队展示他们专业水平的顶级装备：</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp; 目前世界A1方程式</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp; 2007大西洋杯赛车冠军赛</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 作为美国的轮胎品牌，固铂轮胎(COOPERTIRES)自1910年诞生以来，一直以卓越的品质和富于创新的精神闻名于世。大胆和独特的品牌个性使固铂轮胎(COOPERTIRES)成为北美最受欢迎的轮胎品牌之一。无论在科技创新领域还是在赛车运动中，固铂轮胎(COOPERTIRES)都拥有悠久而辉煌的历史。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 作为美国的轮胎品牌,自2006年正式登陆中国市场以来，固铂轮胎(COOPERTIRES)一直致力于为中国年轻而富有探险精神的时尚驾车族提供最可靠的冒险装备。它具备强大的牵引力、卓越的抓地力、灵活的转向操控性以及时尚的花纹设计，成为热爱驾驶、追求冒险乐趣的个性化年轻一代的首选轮胎品牌，并正在拥有越来越多的中国消费者和忠实拥护者。</P>",0,2008/7/31,,,../uploadfile/20110325/20087312395019149.jpg
78,2007年环塔拉力赛轮胎使用感受,TRUE,2,"0,1,2,",200603281858588888,>=,FALSE,,"<P align=center><I>如何在越野的挑战与比赛中选择适合的轮胎？</I></P>
<P align=center><I>下面是来自参加两次世界顶级达喀尔越野赛事门光远写到使用</I>固铂轮胎(COOPERTIRES)<I>感受</I><I></I></P>
<P><BR><BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 环塔拉力赛是国内越野拉力赛中比较有难度的赛事，距离长，赛道路面种类不同。主要分为砂石、河滩、戈壁、沙漠、草原等，所以对轮胎的综合性能及强度要求很高。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 我使用的COOPER STT款轮胎，虽然不是为专业竞赛设计，但整体上还是给我的比赛一个非常不错的支持。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 从几个方面讲：</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1.&nbsp;&nbsp;&nbsp;&nbsp; 附着力：这是一款在我使用的各种所谓MT轮胎中最好的，可以支持赛车更快的过弯速度。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 2.&nbsp;&nbsp;&nbsp;&nbsp; 侧向支撑：非常不错，我对轮胎气压的使用范围在2.2至0.8个大气压，没有造成扒胎脱圈或者漏气的情况。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 3.&nbsp;&nbsp;&nbsp;&nbsp; 胎壁保护：胎壁的结实耐用程度也令人满意，全场的赛事下来没有任何一条轮胎出现爆胎、划伤、漏气等情况。</P>
<P>4.&nbsp;&nbsp;&nbsp;&nbsp; 胎侧花纹：胎侧专有的花纹，增大了泥地的通过性，这是一个比较特殊的设计，非常有效。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 此外，对于全场的比赛来说，只有STT一种轮胎的选择，对于沙丘当中的驾驶有少许不利，因为STT的花纹较大、较深，容易在沙子上刨出深坑，加快轮胎向沙子下运动的速度，这样也就减少了车辆的通过性能，如果在沙丘赛段能够有另外款型的选择（如：ST），这就是最佳的方案了。</P>",0,2008/7/31,,,../uploadfile/20110420/20110420141542518.jpg
79,拥有战甲的轮胎：装备Armor-Tek3技术的固铂Discoverer STT,TRUE,2,"0,1,2,",200603281858588888,>=,FALSE,,"<P>Discoverer STT结合了固铂特有的 Armor-Tek3 架构技术、电脑设计非导向性的胎面花纹，使轮胎更坚韧，能征服一切路况 。<BR><BR>图为Armor-Tek3科技</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 一般的四驱轮胎在轮胎壁连接处都有橡胶缺口，这些缺口是轮胎最脆弱的地方，一个钉子，一个尖利的碎玻璃都可能会进入这些缺口，使轮胎漏气。在先前双层胎体的基础上再增加一层有角度胎体，使胎体强度提升了33%，抗撕裂性能增加2.5。<BR><BR></P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; STT在美国和澳大利亚获得了很好的口碑，越野爱好者们这样评价：</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 我从墨尔本开始，穿过NSW，基本上在沥青路面上。STT路面表现非常好，在Ivanhoe到Cobb Hwy，有很多沙粒和石子，但是我每次踩下油门，STT就好像在这样路况里如鱼得水，即使在高速驾驶的时候，转弯煞车都非常安全。还有，经过这次旅行，轮胎没有一点损伤。——Brad Newham，澳大利亚的四驱爱好者</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 路况是……5厘米深的雪地，120毫米的雨夹雪，65毫米的冰雹，45毫米的冰面……STT的表现完全比我预期的要好得多，去年我使用固铂轮胎的时候已经很觉得很优秀，而这次新的STT的表现简直让我惊讶！?——Daniel Boissevain，五星探险队</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 不只是Armor-Teck3的技术，STT轮胎还有特殊的胎面花纹设计：<B>自洁功能－</B>表而沟槽的特殊设计，能自动去除石块和土块，有助于维护轮胎的性能并防止进一步的损伤。同时<B>深胎侧花纹－</B>深胎侧花纹能够提高在松软路面和石子路面的驱动力，并可保护轮胎侧面，使之免受损伤。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Discoverer STT在中国已经有销售，共有10个尺寸，15和16英寸的直径。<BR><BR>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <BR></P>
<P>图为技术参数</P>",1,2008/7/31,,,../uploadfile/20110420/20110420134638529.gif
80,Lone Wolf与Discoverer STT一同环球探险,TRUE,2,"0,1,2,",200603281858588888,>=,FALSE,,"<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 经过4个月的长途跋涉，Lone Wolf环球探险队跨过巴基斯坦的边境，他们Land Rover Wolf Defender及装备的固铂轮胎已经受了最艰难的路况的考验。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 正是固铂Discoverer STT（Super Traction Tread 超级抓地力）轮胎帮助他们驶过了泥泞不平的公路、大雪覆盖的山路、沙漠与沙丘，也在西方的公路上获得舒适的驾乘体验。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Lone Wolf环球探险队受到固铂轮胎的赞助，于1月2日离开英国，预计在一年里进行环球旅行，这次旅行将经过40个国家， 队长Daniel Moylan曾带领车队经历过世界上最神奇的地方，主厨Rowan Brown在每一站都为他们准备最丰盛的佳肴，这些都将被制作为10集的纪录片。</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 他们驾驶的车辆是专为著名的探险家Ranulph Fiennes爵士设计的。固铂的Discoverer STT结合了固铂特有的Armor-Tek3架构技术，并有特别设计的胎面花纹，使轮胎更坚韧，能帮助车队征服一切路面。</P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 关于Lone Wolf环球探险队，请参阅<A href=""http://www.lonewolftransglobal.co.uk/"">http://www.lonewolftransglobal.co.uk</A>",0,2008/8/1,,,../uploadfile/20110420/20110420141406462.gif
