245/45R17,95Y,,8.0 ,7.5-9.0,350 ,690 
225/45R17,94W,XL,7.5 ,7.0-8.5,340 ,670 
235/45R17 ,94Y,,8.0 ,7.5-9.0,350 ,670 
235/55R17 ,99W,,7.5 ,6.5-8.5,350 ,775 
205/50R17 ,93W,XL,6.5 ,5.5-7.5,340 ,650 
225/50R17 ,98W,XL,7.0 ,6.0-8.0,340 ,750 
225/40R18 ,92Y,XL,8.0 ,7.5-9.0,340 ,630 
245/45R18 ,96Y,,8.0 ,7.5-9.0,350 ,710 
245/40R18 ,97Y,XL,8.5 ,8.0-9.5,340 ,730 
255/40R18 ,99Y,XL,9.0 ,8.5-10.0,340 ,775 
255/35R18 ,90Y,,9.0 ,8.5-10.0,350 ,600 
275/40R20,106Y,XL,9.5 ,9.0-11.0,340 ,950 
245/45R20,103Y,XL,8.0 ,7.5-9.0,340 ,875 
255/35R19,96Y,XL,9.0 ,8.5-10.0,340 ,710 
275/40R18,99Y,,9.5 ,9.0-11.0,350 ,775 
235/40R18,95Y,XL,8.5 ,8.0-9.5,340 ,690 
225/45R18,95W,XL,7.5 ,7.0-8.5,340 ,690 
235/50R18,97W,,7.5 ,6.5-8.5,350 ,730 
275/40R17,98W,,9.5 ,9.0-11.0,350 ,750 
