235/75R15,109S,XL,,YES,GB9743-2007______GB9744-2007________,6.5 ,6.0-8.0,280,1030
265/70R16,112T,,,YES,GB9743-2007______GB9744-2007________,8.0 ,7.0-9.0,300,1120
245/70R16,107S,,,YES,GB9743-2007______GB9744-2007________,7.0 ,6.5-8.0,300,975
225/70R16,103S,,,YES,GB9743-2007______GB9744-2007________,6.5 ,6.0-7.5,300,875
205/70R15,96T,,,YES,GB9743-2007______GB9744-2007________,6.0 ,5.0-7.0,300,710
215/70R15,98T,,,YES,GB9743-2007______GB9744-2007________,6.5 ,5.5-7.0,300,750
265/65R17,112T,,,YES,GB9743-2007______GB9744-2007________,8.0 ,7.5-9.5,300,1120
225/65R17,102T,,,_,GB___,6.5 ,6.0-8.0,300,850
235/65R17,104T,,,YES,GB9743-2007______GB9744-2007________,7.0 ,6.5-8.5,300,900
245/65R17,107T,,,YES,GB9743-2007______GB9744-2007________,7.0 ,7.0-8.5,300,975
275/65R17,115T,,,YES,GB9743-2007______GB9744-2007________,8.0 ,7.5-9.5,300,1215
